artist,collaborators,followers,total_songs_x,total_songs
Julieta Venegas,"Bad Bunny, Tainy",2359381,,1.0
Macklemore,"Ryan Lewis, Ray Dalton",2329704,,1.0
Shilpa Rao,"Vishal Dadlani, Shekhar Ravjiani, Vishal-Shekhar, Caralisa Monteiro, Kumaar",2328340,,1.0
a-ha,,2288141,,1.0
Sachin-Jigar,"Shadab Faridi, Amitabh Bhattacharya, Arijit Singh, Varun Jain, Amitabha Bhattacharya, Altamash Faridi",2280558,,3.0
L-Gante,Tini,2274710,,1.0
Nat King Cole,,2249058,,2.0
Saweetie,"Jax Jones, Charli XCX, Joel Corry",2235891,,1.0
Leo Santana,,2226363,,1.0
24kgoldn,Iann Dior,2218586,,1.0
Beach House,,2213899,,1.0
David Kushner,,2195910,,2.0
Gotye,Kimbra,2163995,,1.0
Swae Lee,"Offset, Metro Boomin, Lil Wayne, Post Malone, NAV, A Boogie Wit da Hoodie",2163580,,3.0
DJ Luian,"Anuel Aa, Mambo Kingz",2159017,,2.0
Tainy,"Bad Bunny, Julieta Venegas",2132591,,3.0
Chino Pacas,Fuerza Regida,2114652,,1.0
Nayeon,,2063140,,1.0
Chuck Berry,,1994750,,1.0
Kate Bush,,1993944,,1.0
Sleepy hallow,347aidan,1991984,,2.0
Dave,Central Cee,1975865,,1.0
AnnenMayKantereit,Giant Rooks,1930105,,0.0
Fireboy DML,Ed Sheeran,1861227,,1.0
Tems,"Future, Drake",1861227,,1.0
League of Legends,"Arcane, Imagine Dragons, JID",1853018,,2.0
Iann Dior,24kgoldn,1844614,,1.0
Freddie Dredd,,1832638,,0.0
Dido,Eminem,1812838,,1.0
JID,"Offset, League of Legends, Imagine Dragons, Arcane",1764380,,2.0
Oscar Maydon,Junior H,1743541,,1.0
Rusherking,"FMK, Maria Becerra, Duki, Lit Killah, Tiago pzk, Big One, Emilia",1724665,,1.0
Dean Martin,,1685162,,1.0
Nate Dogg,Eminem,1680599,,1.0
Zakaria,GODZZ__-,1662063,,0.0
Yung Gravy,,1658693,,0.0
Latto,Jung Kook,1643009,,1.0
La Joaqui,"Steve Aoki, Tini",1638405,,0.0
Ella Henderson,"Becky Hill, David Guetta",1614742,,1.0
Fifty Fifty,,1603138,,2.0
Lord Huron,,1596495,,1.0
PSY,Suga,1585592,,1.0
FMK,"Maria Becerra, Duki, Lit Killah, Tiago pzk, Big One, Rusherking, Ke personajes, Emilia",1543480,,1.0
Fred again..,"Skrillex, Flowdan",1498869,,1.0
RAYE,070 Shake,1498228,,2.0
Jay Rock,Kendrick Lamar,1474717,,1.0
Ckay,"Dj Yo!, AX'EL",1473314,,0.0
James Blake,Metro Boomin,1443916,,1.0
Stephen Sanchez,Em Beihold,1427309,,2.0
Lauren Spencer Smith,Lauren Spencer Smith,1421119,,4.0
Jessie Reyez,"Calvin Harris, Sam Smith",1406318,,1.0
Residente,Bizarrap,1393226,,1.0
TAEYANG,"Lisa, Jimin",1389030,,2.0
Mahmood,Blanco,1386494,,0.0
Lyanno,"Rauw Alejandro, Brray",1375974,,1.0
Fivio Foreign,"Kanye West, Alicia Keys",1313269,,1.0
Nessa Barrett,,1311221,,1.0
Kordhell,,1258476,,1.0
Paloma Faith,,1246996,,1.0
Luar La L,,1240338,,1.0
Bellakath,,1184013,,0.0
Jax Jones,"Joel Corry, MNEK, Charli XCX, Saweetie",1176383,,2.0
Benny Blanco,"BTS, Snoop Dogg",1157844,,1.0
Surf Curse,,1153838,,1.0
Paloma Mami,"Polima WestCoast, Pailita, Feid, De La Ghetto",1142320,,1.0
Coolio,L.V.,1119638,,1.0
Anggi Marito,,1119287,,0.0
Kim Petras,Sam Smith,1096790,,1.0
Loreen,,1059544,,1.0
Chris Rea,,1033820,,1.0
Standly,"NICKI NICOLE, Duki, Stars Music Chile, Cris Mj",1011329,,0.0
Sukriti Kakar,"Vishal Dadlani, Arijit Singh, Shekhar Ravjiani, Vishal-Shekhar, Kumaar",1004971,,1.0
Saiko,"Quevedo, Feid, Mora",1001682,,1.0
Omar Apollo,,998218,,0.0
KALUSH,,996786,,1.0
Jessi,,982409,,1.0
Chencho Corleone,"Rauw Alejandro, Chris Jedi, Bad Bunny, Anuel Aa, Nengo Flow",963965,,1.0
Seafret,,959719,,1.0
Jain,,952823,,0.0
Peggy Gou,,938903,,1.0
Jaymes Young,,938700,,1.0
Yung Lean,,937876,,0.0
Lizzy McAlpine,,936242,,1.0
Raim Laode,,934844,,0.0
Ghostface Killah,"Kendrick Lamar, Summer Walker",916931,,1.0
Angela Aguilar,Yuridia,905723,,0.0
Oxlade,,899515,,0.0
Silk Sonic,"Bruno Mars, Anderson .Paak",885095,,2.0
Shae Gill,Ali Sethi,858933,,1.0
Shekhar Ravjiani,"Shilpa Rao, Sukriti Kakar, Vishal Dadlani, Arijit Singh, Vishal-Shekhar, Caralisa Monteiro, Kumaar",845055,,2.0
Project Pat,"21 Savage, Drake",826758,,1.0
Amitabh Bhattacharya,"Sachin-Jigar, Shadab Faridi, Arijit Singh, Varun Jain, Altamash Faridi, Pritam",815044,,2.0
Becky Hill,"Ella Henderson, David Guetta",808017,,1.0
Ak4:20,"Pailita, Cris Mj",807819,,0.0
Coi Leray,"Metro Boomin, Anne-Marie, David Guetta",802178,,3.0
Yahritza Y Su Esencia,Grupo Frontera,801637,,1.0
Lasso,,773154,,0.0
INTERWORLD,,769775,,1.0
Kaifi Khalil,,765985,,0.0
Sampha,Kendrick Lamar,758488,,1.0
Alvaro Diaz,Rauw Alejandro,737688,,0.0
Masked Wolf,,735192,,1.0
Mr.Kitty,,724695,,1.0
The Walters,,719024,,1.0
AgroPlay,Ana Castela,698009,,0.0
Melody,"Ana Castela, Dj Chris No Beat",694194,,1.0
